stop,name,Latitude,Longtitude
Stop 124,Batman Park,-37.82159481,144.9553634
Stop 1,Flinders Street & Queensbridge Street,-37.81931927,144.9612668
Stop 13,Federation Square,-37.81831895,144.9680658
Stop 6,Russell Street& Flinders Street,-37.81630159,144.9701365
Stop 8, Spring Street & Flinders Street,-37.81293836,144.9733619
Stop 8,Spring Street & Collins Street,-37.81265768,144.9732652
Stop 10,Parliament Station Nicholson Street,-37.80944239,144.9729724
Stop 10,Nicholson Street & Victoria Parade,-37.80770246,144.9728328
Stop 8,Melbourne Central Station,-37.81071641,144.9618455
Stop 7,Queen Victoria Market,-37.80606682,144.9599911
Stop 10,Victoria Street & Peel Street,-37.8050144,144.956
Stop 8,Peel Street & Victoria Street,-37.80569401,144.9557151