name,address,price,rating,tel,lat,log,website,image_url
QT Melbourne,"133 Russell St, Melbourne VIC 3000",300,4.5,61386368800,-37.81317181,144.9680856,https://www.qthotels.com/melbourne/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.qthotels.com/melbourne/wp-content/uploads/sites/101/2016/08/3471-QT-Melbourne-20170524-1-1200x1200.jpg
Zagame's House,"66 Lygon St, Carlton VIC 3053",450,4.5,61690847777,-37.8049346,144.9663147,https://www.zagameshouse.com.au/,https://d50na7ml3yykq.cloudfront.net/zagameshouse.com.au-3127619824/cms/cache/v2/5cd260778f109.jpg/1920x850/fit/80/71b250fd22110297bd3ee7751d4d93bb.jpg
Park Hyatt Melbourne,"1 Parliament Square, Melbourne VIC 3002",850,4.6,61392241234,-37.81121855,144.9762853,https://www.hyatt.com/en-US/hotel/australia/park-hyatt-melbourne/melph?src=corp_lclb_gmb_seo_melph,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2017/11/03/1318/Park-Hyatt-Melbourne-P368-Melbourne-Facade.jpg/Park-Hyatt-Melbourne-P368-Melbourne-Facade.4x3.jpg?imwidth=960
The Langham Melbourne,"1 Southgate Ave, Southbank VIC 3006",350,4.4,61386968888,-37.82051235,144.965706,http://www.langhamhotels.com/en/the-langham/melbourne/?htl=tlmel&src=organic&eng=google&size=na&cid=yext_profile&y_source=1_MTAwNjI1OTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://assets.langhamhotels.com/is/image/langhamhotelsstage/tlmel-offers-the-residence-by-kerrie-hess-experience-package:Medium?wid=1620&hei=910
W Melbourne,"408 Flinders Ln, Melbourne VIC 3000",450,4.5,61391138800,-37.81791067,144.9605956,https://www.marriott.com/en-us/hotels/melwh-w-melbourne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,https://cache.marriott.com/content/dam/marriott-renditions/MELWH/melwh-fabulous-king-1699-hor-wide.jpg?output-quality=70&interpolation=progressive-bilinear&downsize=750px:*
Adelphi Hotel,"187 Flinders Ln, Melbourne VIC 3000",300,4.4,61380808888,-37.81598529,144.9682891,https://adelphi.com.au/,https://adelphi.com.au/2018/wp-content/uploads/2018/04/Comfy-King-1.jpg
voco Melbourne Central,"18 Timothy Ln, Melbourne VIC 3000",550,4.2,61391225500,-37.81209068,144.9610688,https://www.ihg.com/voco/hotels/gb/en/melbourne/melct/hoteldetail?cm_mmc=GoogleMaps-_-VX-_-AU-_-MELCT,https://digital.ihg.com/is/image/ihg/voco-melbourne-7654444884-16x9
Grand Hyatt Melbourne,"123 Collins St, Melbourne VIC 3000",750,4.5,61396571234,-37.81497864,144.9698168,https://www.hyatt.com/en-US/hotel/australia/grand-hyatt-melbourne/melbo?src=corp_lclb_gmb_seo_melbo,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2014/09/21/1756/MELBO-P097-Grand-Club-Room-City-View.jpg/MELBO-P097-Grand-Club-Room-City-View.4x3.jpg?imwidth=640
Quay West Suites Melbourne,"26 Southgate Ave, Southbank VIC 3006",400,4.5,61396936000,-37.820278,144.967029,https://www.quaywestsuitesmelbourne.com.au/,https://cdn.getlocalmeasure.com/photos/IF-17953094648085497_640x640.jpg
Melbourne Holiday Apartments Flinders Wharf,"17b/60 Siddeley St, Docklands VIC 3008",530,4.6,61396298877,-37.8213956,144.9505126,http://www.melbourneholidayapts.com.au/,https://melbourneholidayapts.com.au/wp-content/uploads/2021/09/823_60_Siddeley-010-2-scaled.jpg
United Places,"157 Domain Rd, South Yarra VIC 3141",670,4.8,61398666467,-37.83144398,144.9814891,https://www.unitedplaces.com.au/,https://unitedplaces.com.au/wp-content/uploads/2020/09/United-Places-LR-EWeaving-Jan-2019-.jpg
Ovolo South Yarra,"234 Toorak Rd, South Yarra VIC 3141",590,4.6,61391162000,-37.83610023,144.995019,https://ovolohotels.com/ovolo/south-yarra/,https://3tk0ai1uwd0r16ic0sok18bb-wpengine.netdna-ssl.com/ovolo/south-yarra/wp-content/uploads/sites/15/2020/12/rockstar-suite1-1-1024x700.png
The Hamptons Apartments - St Kilda Apartment Hotel,"154 Chapel St, St Kilda VIC 3182",320,4.4,61392797250,-37.87006921,144.9901759,https://www.thehamptonsapartments.com.au/serviced-apartments-st-kilda-hotel,https://c3eeedc15c0611d84c18-6d9497f165d09befa49b878e755ba3c4.ssl.cf4.rackcdn.com/photos/800x600//manhattan/1009-The-Hamptons-45-Nott-Street-Port-Melbourne-3207-photo21.jpg
Peppers Docklands Melbourne,"679 La Trobe St, Docklands VIC 3008",220,4.4,61391900000,-37.81345835,144.9463906,https://all.accor.com/hotel/B3T4/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjA3MDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.ahstatic.com/photos/b3t4_rokga_00_p_346x260.jpg
"Quest NewQuay, Docklands","26 Caravel Ln, Docklands VIC 3008",210,4.4,61390708000,-37.81367262,144.9409029,https://www.questapartments.com.au/properties/vic/docklands/quest-newquay/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=questnewquay,https://www.questapartments.com.au/images/default-source/album_quest_epping/gallery/quest-epping---hotel-room.jpg?sfvrsn=c5d1dea9_6